Last,First,Middle,Country,Awards
Adrion,William,Richards,USA,FELLOW - 1996;
Agrawal,Rajeev,,USA,ACM Senior Member - 2016;
Aiken,Robert,,USA,FELLOW - 2001;Outstanding Contribution to ACM Award - 1996;
Almstrum,Vicki,L.,USA,ACM Senior Member - 2017;
Alvarado,Christine,,USA,ACM Distinguished Member - 2018;
Alves-Foss,Jim,,USA,ACM Senior Member - 2007;
Anthony,Barbara,,USA,ACM Senior Member - 2015;
Arnow,David,,USA,ACM Senior Member - 2012;
Astrachan,Owen,,USA,ACM Distinguished Member - 2013;ACM Karl V. Karlstrom Outstanding Educator Award - 2016;
Babbitt,Thomas,A.,USA,ACM Senior Member - 2021;
Baldwin,Douglas,,USA,ACM Senior Member - 2012;
Barnes,Tiffany,,USA,ACM Distinguished Member - 2020;
Barr,Valerie,,USA,ACM Distinguished Member - 2019;ACM Senior Member - 2009;Outstanding Contribution to ACM Award - 2016;
Barr,Valerie,,USA,ACM Distinguished Member - 2019;ACM Senior Member - 2009;Outstanding Contribution to ACM Award - 2016;
Bates,Rebecca,A,USA,ACM Senior Member - 2013;
Becker,Brett,A.,Ireland,ACM Distinguished Member - 2024;
Begel,Andrew,B.,USA,ACM Distinguished Member - 2019;
Bell,Tim,,New Zealand,ACM Distinguished Member - 2018;
Bergin,Joseph,A,USA,ACM Senior Member - 2016;
Bethel,Cindy,L,USA,ACM Senior Member - 2015;
Bhattacharya,Debasis,,USA,ACM Senior Member - 2020;
Billionniere,Elodie,,USA,ACM Senior Member - 2023;
Blair,Jean,,USA,ACM Senior Member - 2009;
Borowczak,Mike,,USA,ACM Senior Member - 2019;
Boucher Owens,Barbara,,USA,ACM Distinguished Member - 2012;ACM Senior Member - 2009;
Brodley,Carla,,USA,ACM Frances E. Allen Award for Outstanding Mentoring - 2021;FELLOW - 2016;
Bruce,Kim,B,USA,ACM Distinguished Member - 2019;
Brunvand,Erik,,USA,ACM Senior Member - 2018;
Brusilovsky,Peter,,USA,ACM Senior Member - 2008;
Camp,Tracy,,USA,ACM Distinguished Member - 2006;FELLOW - 2012;
Campbell,Jennifer,,Canada,ACM Senior Member - 2018;
Carver,Jeffrey,,USA,ACM Senior Member - 2010;
Caspersen,Michael,E.,Denmark,ACM Distinguished Member - 2013;ACM Karl V. Karlstrom Outstanding Educator Award - 2022;ACM Senior Member - 2011;
Cassel,Lillian,N,USA,ACM Distinguished Member - 2012;ACM Senior Member - 2011;
Chapman,Gail,,USA,ACM Distinguished Member - 2017;
Cicirello,Vincent,A,USA,ACM Senior Member - 2011;
Cigas,John,,USA,ACM Senior Member - 2015;
Clear,Alison,Lynne,New Zealand,ACM Distinguished Member - 2021;ACM Senior Member - 2009;
Clear,Tony,G,New Zealand,ACM Distinguished Member - 2022;
Cooper,Steve,,USA,ACM Distinguished Member - 2012;ACM Senior Member - 2009;
Cortina,Thomas,,USA,ACM Distinguished Member - 2019;ACM Senior Member - 2010;
Craig,Michelle,,Canada,ACM Distinguished Member - 2016;
Crick,Tom,,United Kingdom,ACM Senior Member - 2020;
Cross,James,H.,USA,ACM Distinguished Member - 2017;
Cutts,Quintin,I,United Kingdom,ACM Distinguished Member - 2022;
Daily,Shaundra,,USA,ACM Karl V. Karlstrom Outstanding Educator Award - 2023;
Daniels,Mats,,Sweden,ACM Distinguished Member - 2018;
Dasigi,Venu,G,USA,ACM Senior Member - 2009;
Davidson,Jack,,USA,FELLOW - 2008;Outstanding Contribution to ACM Award - 2023;
Davis,Janet,,USA,ACM Senior Member - 2013;
Decker,Adrienne,M,USA,ACM Senior Member - 2016;
Denning,Peter,J,USA,ACM Distinguished Service Award - 1989;ACM Karl V. Karlstrom Outstanding Educator Award - 1996;ACM Programming Systems and Languages Paper Award - 1971;FELLOW - 1994;Outstanding Contribution to ACM Award - 1998;
Derbinsky,Nate,,USA,ACM Senior Member - 2024;
